DATE & TIME,LATITUDE,LONGITUDE,DEPTH (KM),MAGNITUDE,LOCATION,DATE,TIME,CATEGORY,AREA,PROVINCE
31 January 2023 - 11:58 PM,8.39,126.63,43.0,3.2,033 km N 85° E of Hinatuan (Surigao Del Sur),31 January 2023,11:58 PM,Weak,Hinatuan,Surigao Del Sur
31 January 2023 - 11:50 PM,7.88,122.79,31.0,2.0,010 km N 22° E of Kabasalan (Zamboanga Sibugay),31 January 2023,11:50 PM,Slightly Felt,Kabasalan,Zamboanga Sibugay
31 January 2023 - 11:50 PM,5.76,125.23,64.0,2.0,007 km S 23° E of Glan (Sarangani),31 January 2023,11:50 PM,Slightly Felt,Glan,Sarangani
31 January 2023 - 11:35 PM,13.93,122.9,3.0,2.7,012 km S 16° E of San Lorenzo Ruiz (Camarines Norte),31 January 2023,11:35 PM,Slightly Felt,San Lorenzo Ruiz,Camarines Norte
31 January 2023 - 11:33 PM,6.82,126.19,32.0,2.2,012 km S 81° E of San Isidro (Davao Oriental),31 January 2023,11:33 PM,Slightly Felt,San Isidro,Davao Oriental
31 January 2023 - 11:29 PM,13.48,120.08,14.0,3.2,032 km S 35° W of Looc (Occidental Mindoro),31 January 2023,11:29 PM,Weak,Looc,Occidental Mindoro
31 January 2023 - 09:28 PM,19.99,121.37,32.0,3.2,065 km S 54° W of Sabtang (Batanes),31 January 2023,09:28 PM,Weak,Sabtang,Batanes
31 January 2023 - 08:32 PM,4.3,128.18,130.0,4.5,327 km S 67° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental),31 January 2023,08:32 PM,Moderately Strong,Sarangani Island,Municipality Of Sarangani
31 January 2023 - 08:32 PM,7.37,126.72,87.0,3.2,018 km N 76° E of Caraga (Davao Oriental),31 January 2023,08:32 PM,Weak,Caraga,Davao Oriental
31 January 2023 - 08:24 PM,20.03,121.32,35.0,3.1,067 km S 60° W of Sabtang (Batanes),31 January 2023,08:24 PM,Weak,Sabtang,Batanes
31 January 2023 - 07:38 PM,9.15,127.26,82.0,2.8,108 km N 76° E of Cagwait (Surigao Del Sur),31 January 2023,07:38 PM,Slightly Felt,Cagwait,Surigao Del Sur
31 January 2023 - 06:34 PM,18.58,120.97,26.0,2.0,003 km N 50° W of Santa Praxedes (Cagayan),31 January 2023,06:34 PM,Slightly Felt,Santa Praxedes,Cagayan
31 January 2023 - 06:03 PM,17.89,120.78,4.0,2.2,013 km S 76° E of Nueva Era (Ilocos Norte),31 January 2023,06:03 PM,Slightly Felt,Nueva Era,Ilocos Norte
31 January 2023 - 04:49 PM,19.87,121.16,14.0,4.5,075 km N 26° W of Calayan (Cagayan),31 January 2023,04:49 PM,Moderately Strong,Calayan,Cagayan
31 January 2023 - 12:34 PM,5.83,126.1,66.0,4.6,051 km S 79° E of Jose Abad Santos (Davao Occidental),31 January 2023,12:34 PM,Moderately Strong,Jose Abad Santos,Davao Occidental
31 January 2023 - 10:17 AM,6.79,126.58,19.0,2.3,032 km S 27° E of Tarragona (Davao Oriental),31 January 2023,10:17 AM,Slightly Felt,Tarragona,Davao Oriental
